TournamentID,Name,StartDate,EndDate,IsOver,IsInProgress,Canceled,Covered,Format,SportRadarTournamentID,Venue,Location,Par,Yards,City,State,Country,TimeZone,Purse,StartDateTime,ZipCode
40,Barracuda Championship,2015-08-06T00:00:00,2015-08-09T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Montreux G&CC,"Reno, NV",72,7472,NA,NA,NA,NA,3100000,NA,NA
47,Quicken Loans National,2015-07-30T00:00:00,2015-08-02T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Robert Trent Jones GC,"Gainesville, VA",71,7385,NA,NA,NA,NA,6700000,NA,NA
34,RBC Canadian Open,2015-07-23T00:00:00,2015-07-26T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Glen Abbey GC,"Oakville,Ontario, Canada",72,7253,NA,NA,NA,NA,5800000,NA,NA
30,The Open,2015-07-16T00:00:00,2015-07-20T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,St Andrews Links (Old Course),"Fife, Scotland",72,7297,NA,NA,NA,NA,9200000,NA,NA
35,John Deere Classic,2015-07-09T00:00:00,2015-07-12T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Deere Run,"Silvis, IL",71,7268,NA,NA,NA,NA,4700000,NA,NA
49,The Greenbrier Classic,2015-07-02T00:00:00,2015-07-05T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,The Old White TPC,"White Sulphur Springs, WV",70,7287,NA,NA,NA,NA,6700000,NA,NA
28,Travelers Championship,2015-06-25T00:00:00,2015-06-28T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC River Highlands,"Cromwell, CT",70,6841,NA,NA,NA,NA,6400000,NA,NA
26,U.S. Open,2015-06-18T00:00:00,2015-06-21T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Chambers Bay GC,"University Place, WA",70,7710,NA,NA,NA,NA,10000000,NA,NA
27,FedEx St. Jude Classic,2015-06-11T00:00:00,2015-06-14T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Southwind,"Memphis, TN",70,7239,NA,NA,NA,NA,6000000,NA,NA
24,the Memorial Tournament presented by Nationwide,2015-06-04T00:00:00,2015-06-07T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Muirfield Village GC,"Dublin, OH",72,7392,NA,NA,NA,NA,6200000,NA,NA
22,AT&T Byron Nelson,2015-05-28T00:00:00,2015-05-31T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Four Seasons Resort,"Irving, TX",70,7166,NA,NA,NA,NA,7100000,NA,NA
23,Crowne Plaza Invitational at  Colonial,2015-05-21T00:00:00,2015-05-24T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Colonial CC,"Ft. Worth, TX",70,7204,NA,NA,NA,NA,6500000,NA,NA
43,Wells Fargo Championship,2015-05-14T00:00:00,2015-05-17T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Quail Hollow Club,"Charlotte, NC",72,7562,NA,NA,NA,NA,7100000,NA,NA
17,THE PLAYERS Championship,2015-05-07T00:00:00,2015-05-10T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Sawgrass,"Ponte Vedra Beach, FL",70,6847,NA,NA,NA,NA,10000000,NA,NA
16,Zurich Classic of New Orleans,2015-04-23T00:00:00,2015-04-26T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Louisiana,"Avondale, LA",72,7425,NA,NA,NA,NA,6900000,NA,NA
19,RBC Heritage,2015-04-16T00:00:00,2015-04-19T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Harbour Town GL,"Hilton Head, SC",71,7101,NA,NA,NA,NA,5900000,NA,NA
18,Masters Tournament,2015-04-09T00:00:00,2015-04-12T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Augusta National GC,"Augusta, GA",72,7435,NA,NA,NA,NA,10000000,NA,NA
21,Shell Houston Open,2015-04-02T00:00:00,2015-04-05T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,GC of Houston,"Humble, TX",72,7441,NA,NA,NA,NA,6600000,NA,NA
37,Valero Texas Open,2015-03-26T00:00:00,2015-03-29T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,JW Marriott TPC San Antonio,"San Antonio, TX",72,6923,NA,NA,NA,NA,6200000,NA,NA
15,Arnold Palmer Invitational presented by MasterCard,2015-03-19T00:00:00,2015-03-22T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Bay Hill Club & Lodge,"Orlando, FL",72,7419,NA,NA,NA,NA,6300000,NA,NA
39,Valspar Championship,2015-03-12T00:00:00,2015-03-15T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Innisbrook Resort (Copperhead),"Palm Harbor, FL",71,7340,NA,NA,NA,NA,5900000,NA,NA
41,World Golf Championships-Cadillac Championship,2015-03-05T00:00:00,2015-03-08T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Trump National Doral,"Miami, FL",72,7528,NA,NA,NA,NA,9250000,NA,NA
48,Puerto Rico Open,2015-03-05T00:00:00,2015-03-08T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Coco Beach Golf & CC,Rio Grande,72,7528,NA,NA,NA,NA,3000000,NA,NA
